Group.1,Accipitrinae,Alca torda,Anatidae,Aythya,Bucephala,Buteo,Cepphus grylle,Charadriiformes,Clangula hyemalis,Corvidae,Corvus,Fratercula arctica,Fringillidae,Fulmarus glacialis,Gruidae,Haliaeetus,Lagopus,Lagopus muta,Laridae,Melanitta deglandi,Milvus,Neognathae,Pelecaniformes,Phalacrocorax,Podicipedidae,Somateria,Somateria spectabilis,Tetraoninae,Uria,Uria aalge
BBO011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42354,0,0,0,0,0,0,0,0,0,38614,0
BBO014,0,0,34820,0,0,0,0,0,0,0,0,0,0,0,0,0,24167,0,0,0,0,0,0,0,0,0,0,0,0,0
BBO016,0,2050,142655,0,0,0,0,0,0,3194,0,0,0,0,0,0,2464,0,19043,0,0,0,0,0,0,0,0,0,0,0
BBO019,86909,0,24092,0,2063,0,0,0,0,3284,1194,0,0,0,0,0,0,0,0,0,0,6762,0,0,0,0,497,0,1903,0
BBO021,0,0,0,0,0,0,0,0,0,0,0,0,1979,0,0,0,74227,0,0,0,0,35065,0,0,0,0,0,0,0,0
BBO0211,129061,0,87216,0,0,0,0,0,0,0,0,0,0,6835,284,0,17623,0,0,0,0,33104,0,0,0,0,0,11023,981,0
BBO025,0,0,3939,0,0,0,0,0,0,0,0,0,0,0,0,0,133899,0,0,0,0,0,0,0,0,0,0,0,0,0
BBO026,0,0,44808,0,0,0,0,0,0,0,0,92351,0,0,0,0,0,0,0,40645,0,0,0,0,0,0,0,0,0,0
BBO035,0,0,55660,0,1117,0,95697,103893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBO202,0,0,0,0,0,0,2331013,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBO215,376343,0,379646,0,0,3643,0,0,0,0,0,0,0,26787,439,0,36436,0,0,0,0,196899,0,0,0,0,0,73855,0,0
BBO216,263627,0,515819,0,0,0,0,0,0,0,0,0,0,0,0,520,1839,390,0,0,0,60411,0,16789,201,432,212,105980,82957,0
BBO217,1144,0,441,0,0,0,0,0,0,0,0,0,0,0,0,1134,307794,0,0,0,0,107504,278,753510,0,0,0,1568,330891,0
BBO218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69056,282104,0,0,0,0,0,0
BBO219,0,0,84339,0,210,0,742,2040,0,0,0,0,0,0,0,0,0,0,0,0,2677,10116,0,0,0,0,0,0,67873,0
BBO220,0,0,853009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBO221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8945
NOC018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,1693270
NOC020,0,0,7552855,293986,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,1190,0,0,0,0,0,619220,0,0
NOC023,0,0,99412,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,4065,0,0,0,0,0,8466,0,0
NOC033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,0
NOC034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,0,0,0
NOC035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0
NOC036,0,0,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0
