Group.1,Alburnus alburnus,Cyprinidae,Cyprinoidei,Gadidae,Gadoidei,Leuciscinae,Melanogrammus aeglefinus,Molva molva,Perciformes,Percomorphaceae,Salmonidae,Salvelinus,Sebastinae,Sebastiscus marmoratus,Thymallus,Trachinus draco,Zoarcales
K1,0,39806,313,300299,374,774,98051,0,0,0,0,0,15359,0,0,0,0
K2,8279,0,0,0,0,13536,0,46040,0,0,0,0,0,0,0,0,0
KL,0,0,0,203413,0,0,0,0,9238,0,0,0,0,0,0,0,0
L1,0,0,0,749373,50906,0,0,0,0,0,0,0,194918,0,0,0,0
L2,4446,0,0,253453,54216,0,818549,0,0,691,28388,0,474150,0,3181,224,0
LU,2881,0,0,4821213,412385,2906,122874,0,0,1905,0,0,1610009,332781,0,0,4603
N/A,0,0,0,0,0,136214,0,0,0,0,0,0,0,0,0,0,0
Q1,0,0,0,0,0,0,0,0,0,0,208,335,0,0,0,0,0
U1,0,0,0,383154,5174,0,0,0,0,0,0,0,0,0,0,0,0
U9,0,0,0,12729,0,0,0,0,0,0,0,0,0,0,0,0,0
