Group.1,Balaena mysticetus,Balaenoptera,Canis lupus,Dicrostonyx torquatus,Erignathus barbatus,Lepus,Mysticeti,Odobenus rosmarus,Phocoena phocoena,Pusa hispida,Rangifer tarandus,Ursus,Vulpes lagopus
AB062EB,0,0,0,0,0,0,0,0,0,0,6312,0,0
BBO010,0,0,0,0,0,0,0,0,1596,0,19088,0,0
BBO014,0,0,1953,194770,0,0,0,0,0,0,83979,33565,11632
BBO016,0,0,0,0,0,0,0,717128,0,0,118694,0,0
BBO020,39608,0,0,0,0,0,0,6351,3475,0,10525,0,0
BBO0209,0,0,0,11950,0,0,0,30832,0,0,38338,314,0
BBO021,0,0,0,0,0,0,0,26995,0,0,10915,0,0
BBO0210,0,0,0,20293,0,0,17418,3027,0,4633,83925,5000,0
BBO0211,0,0,0,2232,0,0,0,0,0,0,39154,0,0
BBO024,0,0,0,40874,0,0,0,0,0,0,246416,0,0
BBO025,0,0,0,0,0,0,0,22212,0,0,27999,0,0
BBO029,0,0,0,0,0,0,0,133802,0,0,0,0,0
BBO030,0,0,0,0,0,0,0,36285,0,0,224,0,0
BBO035,0,0,0,0,0,0,0,5578,0,0,0,34706,0
BBO213,0,0,0,398,0,30993,79440,11941,201,0,263768,285166,303408
BBO214,0,0,0,52747,0,0,0,0,0,0,6771,0,0
BBO215,0,0,0,0,0,63124,0,0,0,0,0,39207,0
BBO216,0,0,0,606743,0,40080,0,55919,0,0,26813,224834,0
BBO217,0,0,0,1370321,0,0,0,5676,0,0,280815,343540,8300
BBO218,107477,0,0,457590,0,0,55920,0,6722,0,227475,48577,6849
BBO219,0,0,0,631410,0,0,0,0,6762,0,29088,143028,7379
BBO220,0,0,0,1184695,0,0,0,0,33245,0,8219,125467,0
BBO221,113258,0,0,618098,18169,0,3516,0,0,0,308336,21955,0
BBO222,87534,5293,0,332169,48433,0,12261,0,0,0,236079,0,0
BBO223,0,0,0,16911,0,0,0,0,0,0,0,170178,0
BBO224,175477,0,0,124927,0,0,0,0,0,0,49250,0,0
BBO225,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC013,0,0,0,31377,0,0,0,0,0,0,127621,0,0
NOC039,0,0,0,27236,0,0,0,0,0,0,0,27003,0
NOC040,0,0,0,0,0,0,0,0,0,0,30904,0,0
